City,Beach,Date,Enterococcus
BERTIOGA,GUARATUBA,2012-10-07,1
BERTIOGA,GUARATUBA,2012-10-14,96
BERTIOGA,GUARATUBA,2012-10-21,1
BERTIOGA,GUARATUBA,2012-10-28,1
BERTIOGA,GUARATUBA,2012-11-04,2
BERTIOGA,GUARATUBA,2012-11-11,1
BERTIOGA,GUARATUBA,2012-11-18,1
BERTIOGA,GUARATUBA,2012-11-25,2
BERTIOGA,GUARATUBA,2012-12-02,1
BERTIOGA,GUARATUBA,2012-12-09,16
BERTIOGA,GUARATUBA,2012-12-16,1
BERTIOGA,GUARATUBA,2012-12-23,8
BERTIOGA,GUARATUBA,2012-12-30,6
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-03,36
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-08,25
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-15,5
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-22,75
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-29,16
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-02-05,17
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-02-12,16
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-02-19,8
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-02-26,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-03-04,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-03-11,10
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-03-18,12
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-03-25,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-04-01,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-04-08,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-04-15,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-04-22,19
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-04-29,41
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-05-06,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-05-13,23
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-05-20,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-05-27,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-06-03,3
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-06-10,48
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-06-17,40
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-06-24,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-07-01,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-07-08,152
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-07-15,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-07-22,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-07-29,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-08-05,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-08-12,7
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-08-19,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-08-26,31
